Certificat de Professionalitat;Descripció ;Hores;NivellEspecialitat;FamProfDescCat;Competències;Descripció de la competència;Durada 
FMEM08;Disseny 3D Y 2D en CATIA v5;60,;3;FABRICACIÓ MECÀNICA;noUC_fmem08;-;12,
AGAH0108;Horticultura i floricultura;600,;2;AGRÀRIA;UC0530_2;Realitzar les operacions de cultiu, collita, transport i emmagatzemament dels cultius hortícoles i flor tallada.;200,
HOTA0208;Gestió de pisos i neteja en allotjaments;480,;3;HOSTALERIA I TURISME;UC0265_3;Gestionar departaments de l'àrea d'allotjament;120,
EOCO0009;Synchro 4D pro entorn BIM;20,;3;EDIFICACIÓ I OBRA CIVIL;;;0,
SEAG0210;Operació d'estacions de tractament d'aigües;540,;2;SEGURETAT I MEDI AMBIENT;UC0073_2;Operar els processos de tractament i depuració de l'aigua;220,
MAPU0110;Producció de viver en aqüicultura;610,;2;MARÍTIM PESQUER;UC0286_2;Cultivar larves;200,
ARGA0211;Enquadernació artística;750,;3;ARTS GRÀFIQUES;noUC_MP0455;Mòdul de pràctiques professionals no laborals de 'Enquadernació artística';120,
QUIB0108;Gestió i control de planta química;840,;3;QUÍMICA;UC0578_3;Supervisar i operar els sistemes de control avançat i d'optimització;90,
AGAN0110;Doma bàsica del cavall;620,;2;AGRÀRIA;noUC_MP0300;Mòdul de pràctiques professionals no laborals de 'Doma bàsica del cavall';80,
TMVI37;Sensibilització sobre els Drets dels Viatgers amb Discapacitat (Formació Complementària CAP Viatgers);10,;1;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
IMSV0208;Assistència a la producció en televisió;510,;3;IMATGE I SO;UC0207_3;Organitzar la producció de projectes de televisió;180,
ARGI0309;Reprografia;300,;1;ARTS GRÀFIQUES;UC1322_1;Rebre i despatxar encàrrecs de reprografia;70,
SSCI0109;Treball Domèstic;200,;1;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC1332_1;Efectuar el procés de rentatge, planxada i cosida básiques manuals de peces de vestir i roba de la llar i la preparació de llits;30,
IMAR0509;Planificació, gestió i realització del manteniment i supervisió del muntatge d'instal·lacions calorífiques;540,;3;INSTAL·LACIÓ I MANTENIMENT;UC1170_3;Planificar el manteniment d'instal·lacions tèrmiques;70,
EOCO0032;Prl per a responsables d'obra i tècnics d'execució a empreses de construcció;20,;1;EDIFICACIÓ I OBRA CIVIL;;;0,
COMP0108;Implantació i animació d'espais comercials;390,;3;COMERÇ I MARQUETING;noUC_MP0010;Mòdul de pràctiques professionals no laborals;80,
